MTV-1,#genre#
光頭易-今夜你會不會想起我,http://em.21dtv.com/songs/60171025.mkv
孤獨詩人-渡我不渡她,http://em.21dtv.com/songs/60171008.mkv
魏新雨-為你祈禱,http://em.21dtv.com/songs/60170995.mkv
大海-相思千萬里,http://em.21dtv.com/songs/60170871.mkv
季彥霖-可不可以,http://em.21dtv.com/songs/60170843.mkv
葉賀林-十指相扣不分離,http://em.21dtv.com/songs/60170774.mkv
龔玥-靜夜花語,http://em.21dtv.com/songs/60170691.mkv
龔玥-難得糊塗,http://em.21dtv.com/songs/60170690.mkv
龔玥-紅塵客人,http://em.21dtv.com/songs/60170689.mkv
龔玥-知了知了,http://em.21dtv.com/songs/60170688.mkv
龔玥-彌陀聲聲,http://em.21dtv.com/songs/60170687.mkv
龔玥-對不起,http://em.21dtv.com/songs/60170686.mkv
龔玥-天邊的牧羊人,http://em.21dtv.com/songs/60170685.mkv
龔玥-大地的孩子,http://em.21dtv.com/songs/60170684.mkv
龔玥-何愁人生無歸期,http://em.21dtv.com/songs/60170683.mkv
梁文音-那女孩對我說,http://em.21dtv.com/songs/60170654.mkv
龔玥-不必相送,http://em.21dtv.com/songs/60170607.mkv
陳雪凝-你的酒館對我打了烊,http://em.21dtv.com/songs/60170585.mkv
我,http://em.21dtv.com/songs/60170461.mkv
蘇青山+媚兒菲菲-負心的人你在哪里,http://em.21dtv.com/songs/60170460.mkv
王慶爽-文成公主,http://em.21dtv.com/songs/60170459.mkv
李勝素-梨花頌,http://em.21dtv.com/songs/60170458.mkv
央金蘭澤-守望你是我的歌,http://em.21dtv.com/songs/60170457.mkv
Polina Gagarina-貝加爾湖畔,http://em.21dtv.com/songs/60170456.mkv
劉歡-璐璐,http://em.21dtv.com/songs/60170455.mkv
吳青峰-那些花兒+望春風,http://em.21dtv.com/songs/60170454.mkv
聲入人心男團-真愛樂章,http://em.21dtv.com/songs/60170453.mkv
楊乃文-推開世界的門,http://em.21dtv.com/songs/60170452.mkv
楊坤-長子,http://em.21dtv.com/songs/60170451.mkv
畢書盡-你,http://em.21dtv.com/songs/60170450.mkv
許靖韻-夢伴,http://em.21dtv.com/songs/60170449.mkv
BigYear大年-ing ing,http://em.21dtv.com/songs/60170448.mkv
DJ何鵬-逝去的歲月,http://em.21dtv.com/songs/60170447.mkv
S.I.N.G女團-傳人,http://em.21dtv.com/songs/60170446.mkv
九月天-南風北巷,http://em.21dtv.com/songs/60170445.mkv
云碩-嬌耳謠,http://em.21dtv.com/songs/60170444.mkv
余昭源+葉里-初見,http://em.21dtv.com/songs/60170443.mkv
葉思言-故鄉的靜夜思,http://em.21dtv.com/songs/60170442.mkv
吳若希-日月存亡,http://em.21dtv.com/songs/60170441.mkv
大哲-不想,http://em.21dtv.com/songs/60170440.mkv
尾崎丰-I Love You,http://em.21dtv.com/songs/60170439.mkv
張一然-如前,http://em.21dtv.com/songs/60170438.mkv
張北北-給你唱過的歌,http://em.21dtv.com/songs/60170437.mkv
無名原創音樂團隊-千秋歲引,http://em.21dtv.com/songs/60170436.mkv
朱浩仁+黃明志-誰說不可能,http://em.21dtv.com/songs/60170435.mkv
楊榮輝-流浪到台北,http://em.21dtv.com/songs/60170434.mkv
愛朵女孩-愛情萬萬歲,http://em.21dtv.com/songs/60170433.mkv
王欣晨-UTOPIA夢托邦,http://em.21dtv.com/songs/60170432.mkv
