📰新聞,#genre#

台視新聞,http://218.93.208.119:54799/tw/index.php?id=14
台視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8

中視新聞,http://218.93.208.119:54799/tw/index.php?id=22
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
中視新聞,http://198.16.64.10:8278/zhongshinews_twn/playlist.m3u8?tid=MD8D4836803548368035&ct=19226&tsum=a2f06c15a5e9c4dc67565c2b8598c8da

華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hsxw

鏡電視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268

壹電視新聞,http://218.93.208.119:54799/tw/index.php?id=21
壹電視新聞,http://stream.nexttv.com.tw/n001/playlist.m3u8
壹電視新聞,http://stream.nexttv.com.tw/n001/hd/live.m3u8

寰宇新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw
寰宇新聞,http://61.219.170.95:18569/.m3u8

東森新聞,http://218.93.208.119:54799/tw/index.php?id=3
東森新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
東森新聞,http://198.16.64.10:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
東森新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw

中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新聞,http://198.16.64.10:8278/ctinews/playlist.m3u8?tid=MA4A6611409066114090&ct=19226&tsum=f0333c4e69a7c5880f766ec9f29ca203
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw

三立新聞,http://218.93.208.119:54799/tw/index.php?id=12
三立新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxw

民視新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
民視新聞台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞台,http://61.219.170.95:18563/.m3u8
民視新聞台,http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw

TVBS新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
TVBS新聞台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞台,http://198.16.64.10:8278/tvbs_n/playlist.m3u8?tid=MEFE5283322452833224&ct=19226&tsum=5f4e9bb0782ab3aae36328763cba2ffd
TVBS新聞台,http://198.16.64.10:8278/tvbs_n/playlist.m3u8?tid=MECE3233774032337740&ct=19225&tsum=47a22a993d8e9b29582dfde5631c78b0
TVBS新聞台,rtmp://59.124.75.138/sat/tv551
TVBS新聞台,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs

🇹🇼臺灣,#genre#

台視,http://198.16.64.10:8278/ttv_taiwan/playlist.m3u8?tid=MDCD7498841774988417&ct=19226&tsum=205fa69ca9e6c04cfa0ed0b301647d1e
台視,rtmp://59.124.75.138/sat/tv071

台視新聞,http://218.93.208.119:54799/tw/index.php?id=14
台視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8

中視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4
中視,http://198.16.64.10:8278/zhongshihd_twn/playlist.m3u8?tid=MB8B7313326473133264&ct=19226&tsum=ae7506028e559f3a6e2a3519b2f6a91e
中視,rtmp://59.124.75.138/sat/tv091

中視新聞,http://218.93.208.119:54799/tw/index.php?id=22
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
中視新聞,http://198.16.64.10:8278/zhongshinews_twn/playlist.m3u8?tid=MD8D4836803548368035&ct=19226&tsum=a2f06c15a5e9c4dc67565c2b8598c8da

華視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6
華視,http://198.16.64.10:8278/ctshd_twn/playlist.m3u8?tid=MAFA1309481213094812&ct=19226&tsum=429f7c40691cdcc6c1fb108dbd11e002
華視,rtmp://59.124.75.138/sat/tv111

華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hsxw

公視,http://198.16.64.10:8278/ctv_taiwan/playlist.m3u8?tid=MCCC8750228587502285&ct=19225&tsum=aca6268c0dd9f618ed5e944942132557

民視,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3
民視,rtmp://59.124.75.138/sat/tv051

民視第一台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv003&nid=1
民視第一台,http://198.16.64.10:8278/lunghuajingdian_twn/playlist.m3u8?tid=ME8E7785888977858889&ct=19226&tsum=a7c782372313ea616d8fced1cebdfbab
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy

民視台灣台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv001&nid=2
民視台灣台,http://198.16.64.10:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
